phase,input_pulse,input_sd,output_pulse,output_sd,midpoint_pulse,midpoint_sd,gradient_pulse,gradient_sd
0.6792,0.84720,7.47039,0.32627,0.79023,1.19611,1.20416,0.16560,7.25652
0.6833,0.78498,7.45041,0.30808,0.79586,1.16877,1.21465,0.05547,7.27314
0.6875,0.71630,7.49785,0.29018,0.79522,1.14004,1.21749,-0.05756,7.33663
0.6917,0.63923,7.47849,0.27231,0.79715,1.11059,1.21845,-0.16905,7.35947
0.6958,0.55265,7.52935,0.25439,0.79869,1.08127,1.22617,-0.27608,7.26753
0.7000,0.45865,7.46536,0.23653,0.80072,1.05258,1.23830,-0.37356,7.23573
0.7042,0.36215,7.50544,0.21873,0.80450,1.02440,1.24587,-0.45982,7.21205
0.7083,0.26555,7.53068,0.20090,0.80794,0.99671,1.25105,-0.53597,7.25675
0.7125,0.17213,7.50959,0.18340,0.81016,0.96972,1.25518,-0.60553,7.29054
0.7167,0.08324,7.47288,0.16643,0.81209,0.94370,1.25751,-0.66492,7.31274
0.7208,-0.00518,7.42745,0.15000,0.81148,0.91826,1.25706,-0.71287,7.33612
0.7250,-0.09532,7.38642,0.13412,0.81173,0.89279,1.26340,-0.74987,7.36653
0.7292,-0.18375,7.35468,0.11882,0.81443,0.86726,1.27406,-0.77406,7.34460
0.7333,-0.27035,7.34376,0.10388,0.81454,0.84127,1.28577,-0.79256,7.34793
0.7375,-0.35126,7.36012,0.08933,0.81662,0.81458,1.28996,-0.80714,7.32216
0.7417,-0.42625,7.33920,0.07558,0.82437,0.78702,1.29337,-0.81821,7.29055
0.7458,-0.49888,7.34498,0.06282,0.83430,0.75859,1.29574,-0.82938,7.25652
0.7500,-0.57212,7.32522,0.05093,0.85089,0.72882,1.29616,-0.84457,7.14058
0.7542,-0.64243,7.30075,0.04013,0.85194,0.69746,1.29593,-0.86590,7.09421
0.7583,-0.70570,7.23550,0.03025,0.85233,0.66405,1.29803,-0.89153,7.22121
0.7625,-0.75753,7.22689,0.02114,0.85176,0.62877,1.30693,-0.92361,7.19651
0.7667,-0.79815,7.19304,0.01286,0.85525,0.59155,1.31152,-0.95894,7.25189
0.7708,-0.83101,7.10077,0.00527,0.85877,0.55256,1.31365,-0.99600,7.25772
0.7750,-0.86269,7.02698,-0.00155,0.86123,0.51273,1.31259,-1.03806,7.24037
0.7792,-0.89431,7.09596,-0.00753,0.86077,0.47343,1.31559,-1.08591,7.20446
0.7833,-0.92960,6.92823,-0.01296,0.86048,0.43596,1.31549,-1.13698,7.19500
0.7875,-0.97050,6.86896,-0.01820,0.85744,0.40084,1.33201,-1.19070,7.16333
0.7917,-1.01964,6.85591,-0.02311,0.85215,0.36868,1.34649,-1.24826,7.12857
0.7958,-1.07752,6.86702,-0.02807,0.84295,0.34005,1.35593,-1.31005,7.07187
0.8000,-1.14210,6.85649,-0.03330,0.83998,0.31493,1.36009,-1.37360,7.07019
0.8042,-1.21157,6.84013,-0.03857,0.82817,0.29359,1.36268,-1.43818,6.99600
0.8083,-1.28743,6.83776,-0.04385,0.82494,0.27614,1.36617,-1.50286,6.91611
0.8125,-1.36989,6.85114,-0.04915,0.82345,0.26224,1.37512,-1.56498,6.88176
0.8167,-1.45900,6.83444,-0.05450,0.82217,0.25097,1.38078,-1.62338,6.89359
0.8208,-1.54616,6.84570,-0.06002,0.82372,0.24257,1.38095,-1.67677,6.90004
0.8250,-1.62716,6.89204,-0.06597,0.82570,0.23670,1.37756,-1.72429,6.94422
0.8292,-1.69739,6.98038,-0.07257,0.82946,0.23325,1.38767,-1.76268,6.93306
0.8333,-1.75675,7.08191,-0.07984,0.83146,0.23129,1.37772,-1.79182,6.96320
0.8375,-1.80712,7.12783,-0.08805,0.82879,0.23015,1.37425,-1.80813,6.96244
0.8417,-1.85081,7.13681,-0.09695,0.82609,0.22921,1.36109,-1.81027,6.95038
0.8458,-1.88654,7.21457,-0.10637,0.82276,0.22904,1.34858,-1.79451,6.90664
0.8500,-1.91209,7.22019,-0.11609,0.82273,0.22963,1.33427,-1.76022,6.91316
0.8542,-1.92879,7.17361,-0.12605,0.82457,0.23018,1.31834,-1.70991,6.91421
0.8583,-1.93367,7.09498,-0.13600,0.82564,0.22947,1.30247,-1.64917,6.95692
0.8625,-1.92220,7.01746,-0.14607,0.82754,0.22685,1.28299,-1.58315,6.98320
0.8667,-1.89674,6.95529,-0.15609,0.82780,0.22206,1.26442,-1.51437,7.00828
0.8708,-1.85840,6.94217,-0.16579,0.82524,0.21545,1.24638,-1.44738,6.99223
0.8750,-1.81092,6.95905,-0.17544,0.82331,0.20750,1.23021,-1.38508,7.01043
0.8792,-1.75650,6.98251,-0.18505,0.82227,0.19840,1.22897,-1.33180,7.04766
0.8833,-1.69851,7.01496,-0.19444,0.83078,0.18810,1.22684,-1.29685,7.06006
0.8875,-1.63663,7.05505,-0.20371,0.82833,0.17768,1.22663,-1.28522,7.03960
0.8917,-1.57641,7.08468,-0.21285,0.83509,0.16802,1.23000,-1.29767,7.01806
0.8958,-1.52245,7.09917,-0.22221,0.83775,0.15949,1.23313,-1.33507,6.96876
0.9000,-1.47988,7.09969,-0.23207,0.83805,0.15140,1.23361,-1.39360,6.96027
0.9042,-1.45181,7.09802,-0.24232,0.83625,0.14350,1.23531,-1.46426,6.96416
0.9083,-1.44095,7.07295,-0.25269,0.83428,0.13582,1.24153,-1.53697,6.90942
0.9125,-1.44587,7.02270,-0.26300,0.83376,0.12898,1.26603,-1.60719,6.83122
0.9167,-1.46765,6.94883,-0.27299,0.83690,0.12247,1.25840,-1.67196,6.76553
0.9208,-1.50301,6.88341,-0.28261,0.83641,0.11500,1.26753,-1.72977,6.82155
0.9250,-1.54510,6.84327,-0.29177,0.83433,0.10590,1.26986,-1.77885,7.01458
0.9292,-1.58703,6.81324,-0.30036,0.83556,0.09576,1.26372,-1.81651,6.85230
0.9333,-1.62887,6.78880,-0.30813,0.83577,0.08448,1.25392,-1.84296,6.82462
0.9375,-1.66728,6.77766,-0.31503,0.83430,0.07198,1.24962,-1.86191,6.90011
0.9417,-1.69976,6.86348,-0.32094,0.83403,0.05857,1.24604,-1.87876,6.97169
0.9458,-1.72623,7.07412,-0.32560,0.83575,0.04453,1.24574,-1.89741,7.02636
0.9500,-1.74653,6.94740,-0.32867,0.84319,0.02988,1.24274,-1.91993,7.03684
0.9542,-1.75972,6.94161,-0.33051,0.84374,0.01549,1.23302,-1.94659,7.04832
0.9583,-1.76949,7.02014,-0.33138,0.84292,0.00195,1.22026,-1.97680,7.09530
0.9625,-1.77689,7.05051,-0.33225,0.83585,-0.01108,1.20949,-2.01320,7.13006
0.9667,-1.78357,7.02500,-0.33352,0.82903,-0.02396,1.20357,-2.05117,7.16935
0.9708,-1.79414,6.97491,-0.33528,0.82064,-0.03632,1.19873,-2.09116,7.22911
0.9750,-1.80833,6.92533,-0.33767,0.81376,-0.04798,1.19427,-2.12959,7.28764
0.9792,-1.82594,6.92540,-0.34027,0.80976,-0.05854,1.19899,-2.16462,7.33218
0.9833,-1.85005,6.94663,-0.34277,0.81201,-0.06789,1.20030,-2.19402,7.35264
0.9875,-1.87400,6.97680,-0.34559,0.81464,-0.07616,1.20371,-2.21771,7.37907
0.9917,-1.89464,6.99037,-0.34868,0.81459,-0.08266,1.20570,-2.22958,7.38897
0.9958,-1.90840,7.00664,-0.35167,0.81130,-0.08679,1.20402,-2.22860,7.34953
