index,time_s,tissue_motion_px_per_frame,detrended,pulsatility_wave,is_pulse_peak
308,10.27385,0.124440,-0.024083,-0.054809,0
309,10.30715,0.119490,-0.028917,-0.012290,0
310,10.34045,0.199033,0.050792,0.031574,0
311,10.37375,0.196744,0.048789,0.069635,0
312,10.40706,0.221419,0.073956,0.095476,0
313,10.44036,0.196820,0.049071,0.104243,1
314,10.47366,0.413291,0.265601,0.093698,0
315,10.50696,0.195647,0.046589,0.065686,0
316,10.54027,0.112499,-0.037392,0.026524,0
317,10.57357,0.130784,-0.019179,-0.015107,0
318,10.60687,0.069952,-0.079818,-0.051190,0
319,10.64018,0.095563,-0.053875,-0.076181,0
320,10.67348,0.086748,-0.062698,-0.087400,0
321,10.70678,0.066248,-0.083184,-0.084601,0
322,10.74008,0.076167,-0.073402,-0.069344,0
323,10.77339,0.082957,-0.066484,-0.044600,0
324,10.80669,0.165986,0.016939,-0.014377,0
325,10.83999,0.126642,-0.023107,0.016851,0
326,10.87329,0.249669,0.100713,0.044787,0
327,10.90660,0.212374,0.062670,0.065900,0
328,10.93990,0.133523,-0.017057,0.077701,0
329,10.97320,0.288463,0.138887,0.078522,1
330,11.00650,0.234314,0.084553,0.067612,0
331,11.03981,0.253906,0.105285,0.046053,0
332,11.07311,0.095002,-0.053663,0.017262,0
333,11.10641,0.109057,-0.039899,-0.013947,0
334,11.13971,0.120333,-0.028062,-0.042915,0
335,11.17302,0.085721,-0.063027,-0.065917,0
336,11.20632,0.075603,-0.073410,-0.080082,0
337,11.23962,0.062250,-0.086598,-0.083307,0
338,11.27292,0.079852,-0.069104,-0.074457,0
339,11.30623,0.122604,-0.026325,-0.053681,0
340,11.33953,0.114620,-0.034789,-0.022697,0
341,11.37283,0.177773,0.029012,0.014941,0
342,11.40613,0.165058,0.015541,0.053692,0
343,11.43944,0.147976,-0.001597,0.086271,0
344,11.47274,0.280681,0.132106,0.104617,1
345,11.50604,0.393587,0.246606,0.102315,0
346,11.53935,0.298203,0.151682,0.078071,0
347,11.57265,0.086362,-0.061103,0.037438,0
348,11.60595,0.084170,-0.062684,-0.009404,0
349,11.63925,0.092362,-0.054628,-0.052022,0
350,11.67256,0.065660,-0.081780,-0.082843,0
351,11.70586,0.088802,-0.058734,-0.097981,0
352,11.73916,0.080103,-0.067587,-0.096678,0
353,11.77246,0.075595,-0.072116,-0.080313,0
354,11.80577,0.120252,-0.027035,-0.051632,0
355,11.83907,0.099036,-0.048326,-0.014470,0
356,11.87237,0.188914,0.042695,0.026211,0
357,11.90567,0.157893,0.011361,0.064333,0
358,11.93898,0.141753,-0.004235,0.093024,0
359,11.97228,0.323145,0.177913,0.105539,1
360,12.00558,0.303251,0.159205,0.097419,0
361,12.03888,0.270659,0.125107,0.069225,0
362,12.07219,0.081499,-0.065974,0.027387,0
363,12.10549,0.061227,-0.085869,-0.018139,0
364,12.13879,0.069232,-0.078209,-0.057724,0
365,12.17209,0.068789,-0.079038,-0.084724,0
366,12.20540,0.066053,-0.082022,-0.096046,0
367,12.23870,0.068741,-0.079678,-0.091498,0
368,12.27200,0.063781,-0.084726,-0.072920,0
369,12.30530,0.084734,-0.063707,-0.043586,0
370,12.33861,0.176108,0.028378,-0.007852,0
371,12.37191,0.115476,-0.032387,0.029240,0
372,12.40521,0.207024,0.059646,0.062281,0
373,12.43851,0.195415,0.048080,0.085805,0
374,12.47182,0.189682,0.041488,0.094976,1
375,12.50512,0.403220,0.255580,0.086920,0
376,12.53842,0.190490,0.040691,0.062517,0
377,12.57173,0.107926,-0.042261,0.027075,0
378,12.60503,0.130625,-0.020214,-0.011567,0
379,12.63833,0.063598,-0.087988,-0.045946,0
380,12.67163,0.108551,-0.042500,-0.070752,0
381,12.70494,0.095551,-0.055394,-0.083161,0
382,12.73824,0.066760,-0.084112,-0.082371,0
383,12.77154,0.063105,-0.087904,-0.069127,0
384,12.80484,0.103812,-0.047252,-0.045645,0
385,12.83815,0.142931,-0.008149,-0.015490,0
386,12.87145,0.107773,-0.043422,0.016810,0
387,12.90475,0.260388,0.109448,0.046295,0
388,12.93805,0.193768,0.042122,0.068357,0
389,12.97136,0.127540,-0.025044,0.079518,1
390,13.00466,0.331752,0.180030,0.077725,0
391,13.03796,0.211857,0.059799,0.062887,0
392,13.07126,0.193952,0.042765,0.037685,0
393,13.10457,0.099554,-0.051830,0.007179,0
394,13.13787,0.093066,-0.058593,-0.022970,0
395,13.17117,0.107171,-0.044293,-0.048198,0
396,13.20447,0.078447,-0.073039,-0.065652,0
397,13.23778,0.082423,-0.072363,-0.073876,0
398,13.27108,0.070704,-0.087005,-0.072314,0
399,13.30438,0.085820,-0.074437,-0.061069,0
400,13.33768,0.126406,-0.039313,-0.040936,0
401,13.37099,0.094972,-0.078117,-0.013627,0
402,13.40429,0.225210,0.047428,0.017907,0
403,13.43759,0.171927,-0.011824,0.049419,0
404,13.47089,0.128029,-0.057589,0.075619,0
405,13.50420,0.305350,0.117360,0.090649,1
406,13.53750,0.332786,0.140989,0.089651,0
407,13.57080,0.287247,0.094231,0.071423,0
408,13.60411,0.096500,-0.097873,0.039735,0
409,13.63741,0.101279,-0.094974,0.001640,0
410,13.67071,0.130745,-0.069066,-0.035610,0
411,13.70401,0.109333,-0.092508,-0.066397,0
412,13.73732,0.097510,-0.104962,-0.086847,0
413,13.77062,0.084113,-0.119167,-0.094422,0
414,13.80392,0.077016,-0.127756,-0.087816,0
415,13.83722,0.101320,-0.104012,-0.067254,0
416,13.87053,0.138711,-0.066450,-0.034950,0
417,13.90383,0.205518,-0.000073,0.004727,0
418,13.93713,0.208462,0.002289,0.045594,0
419,13.97043,0.211704,0.004959,0.080349,0
420,14.00374,0.238141,0.031226,0.101459,0
421,14.03704,0.430744,0.224060,0.102822,1
422,14.07034,0.289174,0.080146,0.082451,0
423,14.10364,0.154264,-0.057077,0.044319,0
424,14.13695,0.177107,-0.034162,-0.002725,0
425,14.17025,0.071589,-0.140311,-0.048003,0
426,14.20355,0.076061,-0.136369,-0.081858,0
427,14.23685,0.069076,-0.143514,-0.097560,0
428,14.27016,0.074695,-0.138097,-0.092164,0
429,14.30346,0.084895,-0.128373,-0.066521,0
430,14.33676,0.124018,-0.089073,-0.024924,0
431,14.37006,0.125103,-0.087737,0.025329,0
432,14.40337,0.154522,-0.058354,0.074493,0
433,14.43667,0.229295,0.017260,0.111403,0
434,14.46997,0.233337,0.021503,0.125478,1
435,14.50327,0.202222,-0.009862,0.109515,0
436,14.53658,0.424253,0.212933,0.062568,0
437,14.56988,0.218861,0.005045,-0.007711,0
438,14.60318,0.104335,-0.110377,-0.085159,0
439,14.63649,0.109224,-0.105746,-0.149390,0
440,14.66979,0.074598,-0.140617,-0.182478,0
441,14.70309,0.067632,-0.147157,-0.174765,0
442,14.73639,0.389046,0.174280,-0.127760,0
443,14.76970,0.346227,0.131623,-0.053012,0
444,14.80300,0.307436,0.092783,0.031871,0
445,14.83630,0.617209,0.402650,0.107459,0
446,14.86960,0.769699,0.555282,0.157165,0
447,14.90291,0.616049,0.401242,0.172443,1
448,14.93621,0.701005,0.486184,0.155277,0
449,14.96951,0.311686,0.096692,0.115748,0
450,15.00281,0.539008,0.323408,0.066396,0
451,15.03612,0.649622,0.435009,0.017507,0
452,15.06942,0.381648,0.166201,-0.023827,0
453,15.10272,0.204947,-0.010261,-0.053243,0
454,15.13602,0.232381,0.017124,-0.070140,0
455,15.16933,0.392934,0.177323,-0.078015,0
456,15.20263,0.253514,0.038363,-0.081659,0
457,15.23593,0.123459,-0.091344,-0.083587,0
458,15.26923,0.142375,-0.072143,-0.083112,0
459,15.30254,0.199535,-0.014779,-0.077635,0
460,15.33584,0.135683,-0.078697,-0.064035,0
461,15.36914,0.160558,-0.053832,-0.039966,0
462,15.40244,0.154628,-0.059873,-0.005467,0
463,15.43575,0.259882,0.046252,0.035896,0
464,15.46905,0.247455,0.033265,0.077298,0
465,15.50235,0.205267,-0.008883,0.110103,0
466,15.53565,0.382100,0.168909,0.125840,1
467,15.56896,0.403815,0.191854,0.118929,0
468,15.60226,0.318463,0.107857,0.089599,0
469,15.63556,0.123986,-0.086798,0.044554,0
470,15.66887,0.121112,-0.089024,-0.005904,0
471,15.70217,0.156723,-0.053748,-0.052009,0
472,15.73547,0.110087,-0.100735,-0.086900,0
473,15.76877,0.085171,-0.125990,-0.106828,0
474,15.80208,0.106405,-0.104734,-0.110536,0
475,15.83538,0.087770,-0.123120,-0.098507,0
476,15.86868,0.119999,-0.090508,-0.072394,0
477,15.90198,0.111119,-0.099589,-0.034962,0
478,15.93529,0.183856,-0.026216,0.009531,0
479,15.96859,0.175477,-0.034643,0.055007,0
480,16.00189,0.150256,-0.059468,0.093688,0
481,16.03519,0.262259,0.053443,0.116915,0
482,16.06850,0.439003,0.231411,0.117477,1
483,16.10180,0.275481,0.066113,0.093308,0
484,16.13510,0.123035,-0.088384,0.049631,0
485,16.16840,0.115377,-0.095875,-0.002917,0
486,16.20171,0.068334,-0.143011,-0.052503,0
487,16.23501,0.076406,-0.135097,-0.089567,0
488,16.26831,0.067696,-0.140286,-0.108446,0
489,16.30161,0.075132,-0.129979,-0.107533,0
490,16.33492,0.077331,-0.125137,-0.088567,0
491,16.36822,0.113373,-0.083238,-0.055707,0
492,16.40152,0.130563,-0.059070,-0.014676,0
493,16.43482,0.226480,0.042214,0.028042,0
494,16.46813,0.187591,0.008457,0.066008,0
495,16.50143,0.183201,0.005575,0.093374,0
496,16.53473,0.215536,0.041262,0.105079,1
497,16.56804,0.408684,0.240146,0.097682,0
498,16.60134,0.265423,0.099600,0.071443,0
499,16.63464,0.101049,-0.063449,0.031714,0
500,16.66794,0.133489,-0.029190,-0.012629,0
501,16.70125,0.088898,-0.070397,-0.052441,0
502,16.73455,0.077642,-0.079621,-0.080670,0
503,16.76785,0.071534,-0.085274,-0.093315,0
504,16.80115,0.065541,-0.090614,-0.089537,0
505,16.83446,0.083121,-0.071875,-0.071247,0
506,16.86776,0.102265,-0.054438,-0.042408,0
507,16.90106,0.148679,-0.010440,-0.008201,0
508,16.93436,0.126320,-0.034538,0.025788,0
509,16.96767,0.259413,0.100095,0.054308,0
510,17.00097,0.208078,0.049312,0.073283,0
511,17.03427,0.150826,-0.008252,0.080445,1
512,17.06757,0.318858,0.162916,0.075344,0
513,17.10088,0.165869,0.012791,0.059265,0
514,17.13418,0.170417,0.019857,0.035218,0
515,17.16748,0.118189,-0.031691,0.007176,0
516,17.20078,0.101986,-0.047363,-0.021052,0
517,17.23409,0.108096,-0.040628,-0.046409,0
518,17.26739,0.099885,-0.048817,-0.066455,0
519,17.30069,0.072715,-0.076172,-0.078909,0
520,17.33399,0.062178,-0.086839,-0.081545,0
521,17.36730,0.089281,-0.060644,-0.072712,0
522,17.40060,0.143257,-0.007172,-0.052065,0
523,17.43390,0.096711,-0.056001,-0.021132,0
524,17.46720,0.233680,0.081331,0.016307,0
525,17.50051,0.197243,0.044536,0.054327,0
526,17.53381,0.119688,-0.034218,0.085563,0
527,17.56711,0.312884,0.160471,0.102298,1
528,17.60042,0.380439,0.231217,0.098708,0
529,17.63372,0.290973,0.143654,0.074265,0
530,17.66702,0.094048,-0.052833,0.035373,0
531,17.70032,0.082956,-0.063377,-0.007060,0
532,17.73363,0.082128,-0.064240,-0.042282,0
533,17.76693,0.068584,-0.077797,-0.063283,0
534,17.80023,0.084957,-0.061657,-0.068054,0
535,17.83353,0.066907,-0.080349,-0.059084,0
536,17.86684,0.084248,-0.063269,-0.041861,0
537,17.90014,0.134661,-0.014526,-0.022903,0
538,17.93344,0.127669,-0.024575,-0.007733,0
539,17.96674,0.233946,0.081822,0.000755,0
540,18.00005,0.174530,0.022455,0.003032,0
